crunch_id,name,milestone_num,competitor_num,office_num,product_num,service_num,founding_round_num,total_money_raised,acquisition_num,investment_num,vc_num,num_exited_competitor,company_count,exited_company_count
42tasks-com,"42tasks.com",0,0,1,0,0,0,0.0,0,0,0,0,0,0
43things,"43 Things, The Robot Co-op",0,0,1,5,0,1,0.0,0,0,0,0,3,0
44-web-design,"44 Web Design",0,0,0,0,0,0,0.0,0,0,0,0,0,0
444kupon,"444kupon",0,0,0,0,0,0,0.0,0,0,0,0,0,0
44ideas,"44ideas",0,0,0,0,0,0,0.0,0,0,0,0,0,0
44tips,"44tips ",0,2,1,0,0,0,0.0,0,0,0,1,1,0
45-sound,"45sound",0,0,1,0,0,0,0.0,0,0,0,0,5,0
48-hour-masters,"48 Hour Masters",0,0,0,0,0,0,0.0,0,0,0,0,0,0
484-group,"484 Group",0,3,0,0,0,0,0.0,0,0,0,1,3,0
48hourslogo,"48hourslogo",0,1,1,0,0,0,0.0,0,0,0,0,1,0
49-research,"49 Research",0,0,1,0,0,0,0.0,0,0,0,0,0,0
49-seo-services,"49 Seo Services",0,0,1,0,0,0,0.0,0,0,0,0,0,0
49lights,"49lights",0,0,1,0,0,0,0.0,0,0,0,0,0,0
49st-technologies,"49st Technologies",0,0,1,0,0,0,0.0,0,0,0,0,0,0
4allcards,"4AllCards",0,0,0,0,0,0,0.0,0,0,0,0,0,0
4allphone,"4allphone",0,0,0,0,0,0,0.0,0,0,0,0,0,0
4am-design-and-technology-labs,"4am Design and Technology Labs",0,0,1,1,0,0,0.0,0,0,0,0,2,0
4am-technologies,"4AM Technologies",0,0,1,0,0,0,0.0,0,0,0,0,0,0
4autoinsurancequote,"4AutoInsuranceQuote",0,4,1,0,1,0,0.0,0,0,0,2,1,0
4autos,"4Autos",0,0,0,0,0,0,0.0,0,0,0,0,0,0
4blox,"4Blox",0,0,1,0,0,1,0.0,0,0,1,0,0,0
4car-in,"4car.in",0,0,0,0,0,0,0.0,0,0,0,0,0,0
4chan,"4chan",0,0,0,0,0,0,0.0,0,0,0,0,2,0
4creative,"4Creative",0,4,1,0,1,0,0.0,0,0,0,1,2,0
4dable,"4dable",0,0,0,0,0,0,0.0,0,0,0,0,0,0
4delite,"4delite",1,2,1,0,0,0,0.0,0,0,0,0,0,0
4diq,"4DIQ",0,0,0,0,0,0,0.0,0,0,0,0,0,0
4dswing,"4DSwing",0,3,1,0,0,0,0.0,0,0,0,0,0,0
4home-furniture,"4HOME Furniture",0,0,1,0,0,0,0.0,0,0,0,0,0,0
4info,"4INFO",1,1,1,0,1,5,5.2,0,0,24,1,7,1
4ja8ja,"4ja8ja",0,0,0,0,0,0,0.0,0,0,0,0,0,0
4less,"4Less",0,1,1,0,0,1,0.1,0,0,1,0,0,0
4llstaff-com,"4llstaff.com",0,0,0,0,0,0,0.0,0,0,0,0,0,0
4m-iberoamrica,"4M Iberoam̩rica",0,0,1,0,0,0,0.0,0,0,0,0,1,0
4ormat,"4ormat",0,0,1,0,0,0,0.0,0,0,0,0,2,0
4projects,"4Projects",0,0,1,0,0,0,0.0,0,0,0,0,0,0
4saleusa-com,"4saleusa.com",0,0,0,0,0,0,0.0,0,0,0,0,0,0
4sqwifi,"4sqwifi",0,0,0,0,0,0,0.0,0,0,0,0,0,0
4stepfinance,"Bucksprout",0,0,1,0,1,0,0.0,0,0,0,0,3,0
4sync,"4sync (beta)",0,2,1,0,0,0,0.0,0,0,0,0,0,0
4th-aspect,"4th aspect",1,0,1,2,0,3,0.0322,0,0,3,0,0,0
4th-screen-advertising,"4th Screen Advertising",0,1,1,1,0,0,0.0,0,0,0,0,0,0
4thaspect,"4thaspect",1,0,0,0,0,0,0.0,0,0,0,0,0,0
4tiitoo,"4tiitoo",0,0,1,0,0,1,0.0,0,0,1,0,0,0
4word-thought-entertainment,"4WT Media",0,0,1,0,0,0,0.0,0,0,0,0,1,0
